transaction_id,date,region,product,category,customer_id,quantity,unit_price,discount_pct,sales_amount,profit,hour,day_of_week,month
TXN1000,2024-01-01 00:00:00,South,Monitor,Accessories,CUST655,2,1822.3,15,3097.91,991.69,0,Monday,1
TXN1001,2024-01-01 01:00:00,West,Tablet,Electronics,CUST784,5,1286.05,5,6108.74,1975.93,1,Monday,1
TXN1002,2024-01-01 02:00:00,East,Laptop,Accessories,CUST771,3,322.11,5,918.01,267.76,2,Monday,1
TXN1003,2024-01-01 03:00:00,South,Monitor,Accessories,CUST272,3,1885.68,5,5374.19,1705.78,3,Monday,1
TXN1004,2024-01-01 04:00:00,North,Mouse,Electronics,CUST928,3,1292.65,0,3877.95,1122.64,4,Monday,1
TXN1005,2024-01-01 05:00:00,North,Monitor,Software,CUST914,3,736.32,15,1877.62,537.05,5,Monday,1
TXN1006,2024-01-01 06:00:00,North,Mouse,Electronics,CUST248,1,364.62,5,346.39,94.81,6,Monday,1
TXN1007,2024-01-01 07:00:00,West,Tablet,Accessories,CUST179,3,1608.65,0,4825.95,1450.41,7,Monday,1
TXN1008,2024-01-01 08:00:00,East,Mouse,Accessories,CUST985,4,1278.14,5,4856.93,882.61,8,Monday,1
TXN1009,2024-01-01 09:00:00,East,Laptop,Electronics,CUST312,4,1113.58,0,4454.32,1452.88,9,Monday,1
TXN1010,2024-01-01 10:00:00,North,Tablet,Software,CUST302,1,1798.4,0,1798.4,583.34,10,Monday,1
TXN1011,2024-01-01 11:00:00,West,Laptop,Accessories,CUST863,3,1598.33,10,4315.49,672.57,11,Monday,1
TXN1012,2024-01-01 12:00:00,West,Keyboard,Accessories,CUST328,3,388.18,0,1164.54,367.02,12,Monday,1
TXN1013,2024-01-01 13:00:00,North,Phone,Accessories,CUST775,3,692.27,5,1972.97,346.8,13,Monday,1
TXN1014,2024-01-01 14:00:00,North,Mouse,Electronics,CUST326,5,572.13,0,2860.65,620.83,14,Monday,1
TXN1015,2024-01-01 15:00:00,North,Phone,Accessories,CUST758,2,1513.5,0,3027.0,904.17,15,Monday,1
TXN1016,2024-01-01 16:00:00,South,Phone,Software,CUST631,5,163.71,0,818.55,149.1,16,Monday,1
TXN1017,2024-01-01 17:00:00,South,Mouse,Accessories,CUST540,2,1182.79,0,2365.58,741.83,17,Monday,1
TXN1018,2024-01-01 18:00:00,South,Tablet,Accessories,CUST501,3,1548.67,10,4181.41,1323.11,18,Monday,1
TXN1019,2024-01-01 19:00:00,North,Keyboard,Software,CUST146,3,1765.85,0,5297.55,1332.3,19,Monday,1
TXN1020,2024-01-01 20:00:00,East,Laptop,Accessories,CUST332,5,749.96,5,3562.31,538.9,20,Monday,1
TXN1021,2024-01-01 21:00:00,North,Monitor,Electronics,CUST404,5,1660.39,5,7886.85,1635.79,21,Monday,1
TXN1022,2024-01-01 22:00:00,North,Laptop,Electronics,CUST625,2,310.2,5,589.38,161.13,22,Monday,1
TXN1023,2024-01-01 23:00:00,South,Monitor,Electronics,CUST242,4,1708.26,15,5808.08,2010.97,23,Monday,1
TXN1024,2024-01-02 00:00:00,South,Laptop,Software,CUST514,2,342.23,10,616.01,170.24,0,Tuesday,1
TXN1025,2024-01-02 01:00:00,East,Mouse,Accessories,CUST612,5,854.85,0,4274.25,863.23,1,Tuesday,1
TXN1026,2024-01-02 02:00:00,North,Keyboard,Electronics,CUST472,5,1614.86,0,8074.3,2234.98,2,Tuesday,1
TXN1027,2024-01-02 03:00:00,South,Monitor,Software,CUST665,1,384.84,0,384.84,99.29,3,Tuesday,1
TXN1028,2024-01-02 04:00:00,South,Tablet,Accessories,CUST985,5,535.58,5,2544.0,778.39,4,Tuesday,1
TXN1029,2024-01-02 05:00:00,North,Laptop,Software,CUST358,1,1472.28,0,1472.28,252.34,5,Tuesday,1
TXN1030,2024-01-02 06:00:00,East,Laptop,Electronics,CUST755,4,1468.07,5,5578.67,1685.91,6,Tuesday,1
TXN1031,2024-01-02 07:00:00,North,Monitor,Electronics,CUST570,2,1318.18,5,2504.54,646.81,7,Tuesday,1
TXN1032,2024-01-02 08:00:00,North,Tablet,Electronics,CUST111,2,1418.5,0,2837.0,971.95,8,Tuesday,1
TXN1033,2024-01-02 09:00:00,West,Tablet,Software,CUST429,1,1131.18,10,1018.06,222.32,9,Tuesday,1
TXN1034,2024-01-02 10:00:00,West,Mouse,Software,CUST835,2,578.42,0,1156.84,319.89,10,Tuesday,1
TXN1035,2024-01-02 11:00:00,West,Mouse,Electronics,CUST883,5,756.82,0,3784.1,1272.99,11,Tuesday,1
TXN1036,2024-01-02 12:00:00,South,Mouse,Software,CUST457,3,445.04,10,1201.61,204.88,12,Tuesday,1
TXN1037,2024-01-02 13:00:00,North,Mouse,Electronics,CUST507,1,1826.06,5,1734.76,585.39,13,Tuesday,1
TXN1038,2024-01-02 14:00:00,East,Mouse,Electronics,CUST767,2,1208.44,5,2296.04,660.29,14,Tuesday,1
TXN1039,2024-01-02 15:00:00,South,Mouse,Accessories,CUST472,1,861.62,5,818.54,133.89,15,Tuesday,1
TXN1040,2024-01-02 16:00:00,North,Keyboard,Software,CUST107,1,977.81,0,977.81,205.53,16,Tuesday,1
TXN1041,2024-01-02 17:00:00,South,Tablet,Electronics,CUST221,3,1899.84,10,5129.57,1495.96,17,Tuesday,1
TXN1042,2024-01-02 18:00:00,North,Mouse,Electronics,CUST447,5,391.37,10,1761.16,287.9,18,Tuesday,1
TXN1043,2024-01-02 19:00:00,West,Tablet,Software,CUST775,1,1213.84,5,1153.15,307.24,19,Tuesday,1
TXN1044,2024-01-02 20:00:00,North,Tablet,Accessories,CUST189,2,1061.19,0,2122.38,465.18,20,Tuesday,1
TXN1045,2024-01-02 21:00:00,East,Phone,Accessories,CUST747,4,1261.76,5,4794.69,1314.62,21,Tuesday,1
TXN1046,2024-01-02 22:00:00,South,Keyboard,Electronics,CUST797,1,134.41,0,134.41,21.39,22,Tuesday,1
TXN1047,2024-01-02 23:00:00,South,Mouse,Software,CUST415,1,1757.04,0,1757.04,569.82,23,Tuesday,1
TXN1048,2024-01-03 00:00:00,South,Laptop,Accessories,CUST277,3,1871.02,15,4771.1,1644.59,0,Wednesday,1
TXN1049,2024-01-03 01:00:00,North,Monitor,Software,CUST639,5,1173.75,0,5868.75,2017.53,1,Wednesday,1
TXN1050,2024-01-03 02:00:00,West,Laptop,Software,CUST831,4,1423.64,20,4555.65,1366.38,2,Wednesday,1
TXN1051,2024-01-03 03:00:00,East,Keyboard,Electronics,CUST968,2,1852.75,5,3520.22,619.62,3,Wednesday,1
TXN1052,2024-01-03 04:00:00,West,Monitor,Accessories,CUST140,4,1443.75,0,5775.0,1742.04,4,Wednesday,1
TXN1053,2024-01-03 05:00:00,West,Keyboard,Electronics,CUST839,2,389.82,5,740.66,114.74,5,Wednesday,1
TXN1054,2024-01-03 06:00:00,South,Tablet,Accessories,CUST803,5,1194.95,15,5078.54,784.25,6,Wednesday,1
TXN1055,2024-01-03 07:00:00,West,Monitor,Accessories,CUST601,2,1252.76,10,2254.97,484.19,7,Wednesday,1
TXN1056,2024-01-03 08:00:00,North,Tablet,Accessories,CUST244,3,905.85,10,2445.8,605.89,8,Wednesday,1
TXN1057,2024-01-03 09:00:00,North,Laptop,Accessories,CUST300,3,1499.24,5,4272.83,1299.29,9,Wednesday,1
TXN1058,2024-01-03 10:00:00,North,Laptop,Accessories,CUST823,3,1875.3,5,5344.6,1532.08,10,Wednesday,1
TXN1059,2024-01-03 11:00:00,South,Monitor,Software,CUST560,3,1858.58,10,5018.17,1200.25,11,Wednesday,1
TXN1060,2024-01-03 12:00:00,South,Monitor,Electronics,CUST831,4,956.59,0,3826.36,783.35,12,Wednesday,1
TXN1061,2024-01-03 13:00:00,North,Mouse,Software,CUST851,5,315.15,5,1496.96,523.08,13,Wednesday,1
TXN1062,2024-01-03 14:00:00,West,Keyboard,Accessories,CUST657,2,1971.2,0,3942.4,927.4,14,Wednesday,1
TXN1063,2024-01-03 15:00:00,South,Mouse,Electronics,CUST646,2,1693.91,20,2710.26,651.21,15,Wednesday,1
TXN1064,2024-01-03 16:00:00,North,Keyboard,Accessories,CUST352,3,336.86,15,858.99,156.96,16,Wednesday,1
TXN1065,2024-01-03 17:00:00,South,Mouse,Electronics,CUST489,3,1849.6,0,5548.8,1714.37,17,Wednesday,1
TXN1066,2024-01-03 18:00:00,North,Tablet,Software,CUST693,1,1752.8,10,1577.52,455.49,18,Wednesday,1
TXN1067,2024-01-03 19:00:00,West,Monitor,Electronics,CUST982,5,1085.79,15,4614.61,895.94,19,Wednesday,1
TXN1068,2024-01-03 20:00:00,North,Laptop,Electronics,CUST355,4,1223.42,0,4893.68,814.68,20,Wednesday,1
TXN1069,2024-01-03 21:00:00,West,Keyboard,Electronics,CUST808,2,858.11,5,1630.41,466.46,21,Wednesday,1
TXN1070,2024-01-03 22:00:00,East,Keyboard,Electronics,CUST914,1,204.05,15,173.44,48.72,22,Wednesday,1
TXN1071,2024-01-03 23:00:00,North,Laptop,Electronics,CUST549,1,736.87,0,736.87,150.8,23,Wednesday,1
TXN1072,2024-01-04 00:00:00,North,Mouse,Accessories,CUST109,2,1625.42,5,3088.3,1050.56,0,Thursday,1
TXN1073,2024-01-04 01:00:00,West,Keyboard,Electronics,CUST923,4,108.8,0,435.2,78.43,1,Thursday,1
TXN1074,2024-01-04 02:00:00,East,Tablet,Electronics,CUST897,1,733.65,15,623.6,147.46,2,Thursday,1
TXN1075,2024-01-04 03:00:00,East,Monitor,Software,CUST341,1,856.52,20,685.22,232.1,3,Thursday,1
TXN1076,2024-01-04 04:00:00,East,Laptop,Electronics,CUST350,5,1121.05,15,4764.46,1114.62,4,Thursday,1
TXN1077,2024-01-04 05:00:00,North,Monitor,Software,CUST976,4,1847.73,5,7021.37,1949.87,5,Thursday,1
TXN1078,2024-01-04 06:00:00,South,Keyboard,Accessories,CUST104,1,758.06,15,644.35,147.89,6,Thursday,1
TXN1079,2024-01-04 07:00:00,North,Keyboard,Electronics,CUST218,4,759.21,10,2733.16,559.87,7,Thursday,1
TXN1080,2024-01-04 08:00:00,West,Laptop,Software,CUST900,2,1501.25,0,3002.5,1041.25,8,Thursday,1
TXN1081,2024-01-04 09:00:00,East,Tablet,Software,CUST473,3,959.21,10,2589.87,600.5,9,Thursday,1
TXN1082,2024-01-04 10:00:00,South,Phone,Accessories,CUST164,1,526.75,0,526.75,173.21,10,Thursday,1
TXN1083,2024-01-04 11:00:00,North,Laptop,Electronics,CUST245,5,959.64,5,4558.29,893.38,11,Thursday,1
TXN1084,2024-01-04 12:00:00,South,Phone,Electronics,CUST323,2,367.63,0,735.26,141.63,12,Thursday,1
TXN1085,2024-01-04 13:00:00,South,Mouse,Software,CUST338,4,435.14,0,1740.56,271.92,13,Thursday,1
TXN1086,2024-01-04 14:00:00,East,Phone,Electronics,CUST276,2,1046.9,0,2093.8,586.96,14,Thursday,1
TXN1087,2024-01-04 15:00:00,East,Tablet,Software,CUST878,1,895.96,5,851.16,190.41,15,Thursday,1
TXN1088,2024-01-04 16:00:00,West,Mouse,Electronics,CUST952,4,1838.21,0,7352.84,2374.02,16,Thursday,1
TXN1089,2024-01-04 17:00:00,South,Phone,Software,CUST381,3,788.55,10,2129.08,520.86,17,Thursday,1
TXN1090,2024-01-04 18:00:00,North,Mouse,Electronics,CUST162,2,1203.12,0,2406.24,826.88,18,Thursday,1
TXN1091,2024-01-04 19:00:00,East,Phone,Accessories,CUST316,1,1301.3,0,1301.3,243.48,19,Thursday,1
TXN1092,2024-01-04 20:00:00,East,Tablet,Electronics,CUST953,5,124.88,5,593.18,192.03,20,Thursday,1
TXN1093,2024-01-04 21:00:00,South,Phone,Electronics,CUST926,4,1360.72,10,4898.59,1495.63,21,Thursday,1
TXN1094,2024-01-04 22:00:00,East,Phone,Accessories,CUST894,2,438.27,0,876.54,266.63,22,Thursday,1
TXN1095,2024-01-04 23:00:00,South,Phone,Electronics,CUST788,2,1926.03,5,3659.46,1167.21,23,Thursday,1
TXN1096,2024-01-05 00:00:00,South,Laptop,Accessories,CUST560,3,382.46,15,975.27,294.73,0,Friday,1
TXN1097,2024-01-05 01:00:00,South,Laptop,Electronics,CUST709,3,887.79,5,2530.2,696.42,1,Friday,1
TXN1098,2024-01-05 02:00:00,North,Laptop,Software,CUST204,5,262.16,0,1310.8,231.03,2,Friday,1
TXN1099,2024-01-05 03:00:00,North,Tablet,Software,CUST198,5,1994.06,0,9970.3,1560.4,3,Friday,1
TXN1100,2024-01-05 04:00:00,North,Mouse,Electronics,CUST610,1,1054.17,15,896.04,299.43,4,Friday,1
TXN1101,2024-01-05 05:00:00,East,Keyboard,Electronics,CUST484,1,1231.23,0,1231.23,336.53,5,Friday,1
TXN1102,2024-01-05 06:00:00,South,Phone,Electronics,CUST504,5,227.45,15,966.66,299.0,6,Friday,1
TXN1103,2024-01-05 07:00:00,South,Phone,Software,CUST922,5,1524.92,5,7243.37,1784.07,7,Friday,1
TXN1104,2024-01-05 08:00:00,West,Tablet,Electronics,CUST617,4,498.82,15,1695.99,294.19,8,Friday,1
TXN1105,2024-01-05 09:00:00,North,Phone,Software,CUST575,3,1806.3,10,4877.01,853.66,9,Friday,1
TXN1106,2024-01-05 10:00:00,South,Laptop,Accessories,CUST808,1,489.77,20,391.82,112.5,10,Friday,1
TXN1107,2024-01-05 11:00:00,East,Keyboard,Software,CUST962,3,462.31,0,1386.93,327.4,11,Friday,1
TXN1108,2024-01-05 12:00:00,North,Monitor,Software,CUST744,3,169.44,10,457.49,86.97,12,Friday,1
TXN1109,2024-01-05 13:00:00,North,Phone,Accessories,CUST969,5,996.93,5,4735.42,1175.89,13,Friday,1
TXN1110,2024-01-05 14:00:00,North,Laptop,Software,CUST870,4,1173.2,5,4458.16,725.97,14,Friday,1
TXN1111,2024-01-05 15:00:00,North,Monitor,Electronics,CUST536,2,224.85,5,427.22,113.81,15,Friday,1
TXN1112,2024-01-05 16:00:00,West,Keyboard,Electronics,CUST122,4,1573.5,15,5349.9,1090.3,16,Friday,1
TXN1113,2024-01-05 17:00:00,West,Monitor,Software,CUST664,4,961.25,20,3076.0,952.06,17,Friday,1
TXN1114,2024-01-05 18:00:00,East,Laptop,Electronics,CUST776,3,1096.34,10,2960.12,627.76,18,Friday,1
TXN1115,2024-01-05 19:00:00,West,Mouse,Software,CUST813,4,937.45,5,3562.31,858.67,19,Friday,1
TXN1116,2024-01-05 20:00:00,West,Mouse,Electronics,CUST557,1,861.45,5,818.38,124.66,20,Friday,1
TXN1117,2024-01-05 21:00:00,North,Monitor,Electronics,CUST182,3,1163.32,10,3140.96,516.65,21,Friday,1
TXN1118,2024-01-05 22:00:00,West,Tablet,Software,CUST244,1,394.96,0,394.96,90.25,22,Friday,1
TXN1119,2024-01-05 23:00:00,South,Monitor,Electronics,CUST184,2,445.66,0,891.32,219.25,23,Friday,1
TXN1120,2024-01-06 00:00:00,West,Phone,Software,CUST177,3,1737.39,0,5212.17,1407.31,0,Saturday,1
TXN1121,2024-01-06 01:00:00,West,Phone,Electronics,CUST556,2,1897.62,0,3795.24,790.67,1,Saturday,1
TXN1122,2024-01-06 02:00:00,South,Mouse,Electronics,CUST977,3,809.29,0,2427.87,701.65,2,Saturday,1
TXN1123,2024-01-06 03:00:00,North,Tablet,Accessories,CUST100,5,614.41,0,3072.05,989.28,3,Saturday,1
TXN1124,2024-01-06 04:00:00,North,Laptop,Accessories,CUST150,4,1323.6,0,5294.4,1619.93,4,Saturday,1
TXN1125,2024-01-06 05:00:00,South,Phone,Software,CUST784,5,876.59,0,4382.95,692.17,5,Saturday,1
TXN1126,2024-01-06 06:00:00,West,Mouse,Accessories,CUST816,2,148.23,20,237.17,58.37,6,Saturday,1
TXN1127,2024-01-06 07:00:00,West,Keyboard,Software,CUST871,4,396.69,5,1507.42,257.75,7,Saturday,1
TXN1128,2024-01-06 08:00:00,North,Mouse,Accessories,CUST545,3,1460.35,0,4381.05,869.24,8,Saturday,1
TXN1129,2024-01-06 09:00:00,South,Phone,Electronics,CUST548,4,1351.96,5,5137.45,1784.4,9,Saturday,1
TXN1130,2024-01-06 10:00:00,South,Phone,Software,CUST980,1,151.48,0,151.48,27.04,10,Saturday,1
TXN1131,2024-01-06 11:00:00,North,Mouse,Software,CUST587,4,521.75,15,1773.95,443.09,11,Saturday,1
TXN1132,2024-01-06 12:00:00,North,Laptop,Electronics,CUST899,1,539.04,10,485.14,132.75,12,Saturday,1
TXN1133,2024-01-06 13:00:00,South,Monitor,Software,CUST133,4,1376.6,0,5506.4,1599.57,13,Saturday,1
TXN1134,2024-01-06 14:00:00,West,Phone,Software,CUST447,1,137.45,5,130.58,34.2,14,Saturday,1
TXN1135,2024-01-06 15:00:00,South,Mouse,Accessories,CUST194,2,297.81,15,506.28,76.93,15,Saturday,1
TXN1136,2024-01-06 16:00:00,South,Mouse,Software,CUST171,5,1619.84,15,6884.32,1482.14,16,Saturday,1
TXN1137,2024-01-06 17:00:00,East,Tablet,Electronics,CUST650,3,439.23,5,1251.81,317.39,17,Saturday,1
TXN1138,2024-01-06 18:00:00,South,Monitor,Accessories,CUST253,4,1340.22,5,5092.84,853.42,18,Saturday,1
TXN1139,2024-01-06 19:00:00,West,Keyboard,Accessories,CUST349,5,552.55,0,2762.75,608.15,19,Saturday,1
TXN1140,2024-01-06 20:00:00,West,Laptop,Electronics,CUST773,3,288.94,20,693.46,108.62,20,Saturday,1
TXN1141,2024-01-06 21:00:00,North,Keyboard,Electronics,CUST537,3,562.03,0,1686.09,279.41,21,Saturday,1
TXN1142,2024-01-06 22:00:00,South,Monitor,Accessories,CUST217,1,1472.31,15,1251.46,287.07,22,Saturday,1
TXN1143,2024-01-06 23:00:00,South,Monitor,Software,CUST870,2,1725.82,5,3279.06,578.9,23,Saturday,1
TXN1144,2024-01-07 00:00:00,North,Monitor,Accessories,CUST990,2,1677.42,5,3187.1,839.83,0,Sunday,1
TXN1145,2024-01-07 01:00:00,North,Keyboard,Electronics,CUST405,5,854.65,5,4059.59,1168.73,1,Sunday,1
TXN1146,2024-01-07 02:00:00,East,Monitor,Accessories,CUST367,2,1369.36,0,2738.72,849.32,2,Sunday,1
TXN1147,2024-01-07 03:00:00,South,Mouse,Electronics,CUST153,4,489.47,0,1957.88,372.06,3,Sunday,1
TXN1148,2024-01-07 04:00:00,North,Keyboard,Accessories,CUST335,2,656.98,0,1313.96,241.11,4,Sunday,1
TXN1149,2024-01-07 05:00:00,North,Monitor,Software,CUST488,5,1803.04,0,9015.2,1540.82,5,Sunday,1
TXN1150,2024-01-07 06:00:00,West,Mouse,Accessories,CUST833,2,124.7,10,224.46,62.24,6,Sunday,1
TXN1151,2024-01-07 07:00:00,North,Tablet,Accessories,CUST862,4,262.47,0,1049.88,305.82,7,Sunday,1
TXN1152,2024-01-07 08:00:00,North,Monitor,Electronics,CUST924,1,494.98,0,494.98,77.37,8,Sunday,1
TXN1153,2024-01-07 09:00:00,South,Keyboard,Electronics,CUST500,5,150.41,20,601.64,202.9,9,Sunday,1
TXN1154,2024-01-07 10:00:00,West,Phone,Electronics,CUST723,1,444.73,15,378.02,60.63,10,Sunday,1
TXN1155,2024-01-07 11:00:00,North,Monitor,Accessories,CUST866,1,1207.78,15,1026.61,265.13,11,Sunday,1
TXN1156,2024-01-07 12:00:00,East,Phone,Software,CUST402,1,900.71,20,720.57,210.27,12,Sunday,1
TXN1157,2024-01-07 13:00:00,East,Mouse,Electronics,CUST306,3,1796.08,0,5388.24,1746.83,13,Sunday,1
TXN1158,2024-01-07 14:00:00,North,Tablet,Electronics,CUST328,3,1653.14,0,4959.42,1452.2,14,Sunday,1
TXN1159,2024-01-07 15:00:00,East,Laptop,Accessories,CUST952,1,749.45,10,674.51,209.33,15,Sunday,1
TXN1160,2024-01-07 16:00:00,South,Tablet,Electronics,CUST677,5,592.9,5,2816.28,613.64,16,Sunday,1
TXN1161,2024-01-07 17:00:00,East,Monitor,Software,CUST174,4,821.42,0,3285.68,1028.3,17,Sunday,1
TXN1162,2024-01-07 18:00:00,East,Phone,Software,CUST534,4,1221.56,10,4397.62,730.11,18,Sunday,1
TXN1163,2024-01-07 19:00:00,South,Phone,Electronics,CUST202,2,609.32,0,1218.64,400.89,19,Sunday,1
TXN1164,2024-01-07 20:00:00,North,Keyboard,Electronics,CUST521,5,1285.88,0,6429.4,1668.55,20,Sunday,1
TXN1165,2024-01-07 21:00:00,West,Phone,Accessories,CUST803,3,877.88,5,2501.96,784.26,21,Sunday,1
TXN1166,2024-01-07 22:00:00,South,Keyboard,Software,CUST863,1,1148.89,5,1091.45,262.45,22,Sunday,1
TXN1167,2024-01-07 23:00:00,North,Mouse,Software,CUST837,2,928.64,5,1764.42,491.77,23,Sunday,1
TXN1168,2024-01-08 00:00:00,North,Laptop,Electronics,CUST905,4,659.48,0,2637.92,673.41,0,Monday,1
TXN1169,2024-01-08 01:00:00,South,Monitor,Accessories,CUST405,3,1902.06,15,4850.25,1437.22,1,Monday,1
TXN1170,2024-01-08 02:00:00,East,Keyboard,Software,CUST197,3,1550.85,0,4652.55,773.84,2,Monday,1
TXN1171,2024-01-08 03:00:00,North,Laptop,Software,CUST949,1,366.22,0,366.22,59.35,3,Monday,1
TXN1172,2024-01-08 04:00:00,South,Phone,Accessories,CUST897,4,1750.09,15,5950.31,1186.61,4,Monday,1
TXN1173,2024-01-08 05:00:00,North,Phone,Accessories,CUST434,5,1026.12,20,4104.48,746.64,5,Monday,1
TXN1174,2024-01-08 06:00:00,East,Laptop,Software,CUST958,3,1799.65,15,4589.11,1488.51,6,Monday,1
TXN1175,2024-01-08 07:00:00,North,Phone,Software,CUST534,1,1619.72,10,1457.75,282.57,7,Monday,1
TXN1176,2024-01-08 08:00:00,East,Mouse,Accessories,CUST546,5,907.91,5,4312.57,1488.58,8,Monday,1
TXN1177,2024-01-08 09:00:00,South,Mouse,Software,CUST407,4,142.69,5,542.22,117.87,9,Monday,1
TXN1178,2024-01-08 10:00:00,West,Laptop,Electronics,CUST348,3,610.49,0,1831.47,341.43,10,Monday,1
TXN1179,2024-01-08 11:00:00,North,Keyboard,Electronics,CUST265,5,1129.11,5,5363.27,1651.56,11,Monday,1
TXN1180,2024-01-08 12:00:00,South,Keyboard,Accessories,CUST580,5,1303.61,0,6518.05,1836.41,12,Monday,1
TXN1181,2024-01-08 13:00:00,North,Laptop,Accessories,CUST434,5,589.99,0,2949.95,736.42,13,Monday,1
TXN1182,2024-01-08 14:00:00,West,Keyboard,Accessories,CUST641,3,364.78,10,984.91,257.13,14,Monday,1
TXN1183,2024-01-08 15:00:00,West,Keyboard,Electronics,CUST858,3,1686.37,5,4806.15,1412.24,15,Monday,1
TXN1184,2024-01-08 16:00:00,North,Mouse,Software,CUST205,2,1970.36,0,3940.72,771.16,16,Monday,1
TXN1185,2024-01-08 17:00:00,East,Keyboard,Electronics,CUST662,4,1098.81,0,4395.24,1535.11,17,Monday,1
TXN1186,2024-01-08 18:00:00,West,Tablet,Software,CUST180,1,426.19,5,404.88,139.67,18,Monday,1
TXN1187,2024-01-08 19:00:00,South,Monitor,Electronics,CUST232,5,617.38,0,3086.9,864.53,19,Monday,1
TXN1188,2024-01-08 20:00:00,South,Phone,Software,CUST896,2,134.94,15,229.4,43.57,20,Monday,1
TXN1189,2024-01-08 21:00:00,North,Tablet,Electronics,CUST237,1,1837.17,5,1745.31,499.24,21,Monday,1
TXN1190,2024-01-08 22:00:00,North,Keyboard,Accessories,CUST283,2,323.73,5,615.09,101.15,22,Monday,1
TXN1191,2024-01-08 23:00:00,West,Mouse,Electronics,CUST500,3,1195.38,5,3406.83,531.91,23,Monday,1
TXN1192,2024-01-09 00:00:00,West,Laptop,Software,CUST429,5,620.7,10,2793.15,562.92,0,Tuesday,1
TXN1193,2024-01-09 01:00:00,East,Keyboard,Electronics,CUST884,1,1152.94,0,1152.94,279.62,1,Tuesday,1
TXN1194,2024-01-09 02:00:00,South,Mouse,Electronics,CUST607,1,1337.7,5,1270.82,411.31,2,Tuesday,1
TXN1195,2024-01-09 03:00:00,South,Monitor,Electronics,CUST951,1,1676.51,5,1592.68,470.53,3,Tuesday,1
TXN1196,2024-01-09 04:00:00,East,Keyboard,Accessories,CUST168,1,492.2,0,492.2,146.94,4,Tuesday,1
TXN1197,2024-01-09 05:00:00,West,Laptop,Electronics,CUST645,1,120.89,15,102.76,24.16,5,Tuesday,1
TXN1198,2024-01-09 06:00:00,West,Mouse,Accessories,CUST873,2,360.08,10,648.14,142.06,6,Tuesday,1
TXN1199,2024-01-09 07:00:00,East,Mouse,Accessories,CUST152,5,1810.04,5,8597.69,1927.67,7,Tuesday,1
